word,pos_num,neg_num
cheese,29766,12597
chicken,27261,13706
burger,26915,10727
sushi,25882,7093
fries,23262,9310
sauce,22905,8575
salad,21300,8312
sandwich,17360,7154
pizza,16933,5614
food,138288,47874
bar,62245,23322
menu,45024,15718
beer,42164,12858
restaurant,38883,15596
dinner,25140,8255
drink,22913,9990
meal,21349,8325
ordered,40715,20740
order,26361,16426
table,23732,14697
place,108448,34546
service,66833,29085
time,55272,25249
night,30978,13289
staff,29661,7290
people,21569,12093
experience,22469,10274
atmosphere,27928,3952
wait,21813,9906
server,20443,9880
area,19359,5706
minutes,13417,11533
lunch,18360,5872
